Months,Unemployment_Rates
Jan-86,8.53
Feb-86,8.92
Mar-86,8.48
Apr-86,8.06
May-86,7.71
Jun-86,7.39
Jul-86,7.86
Aug-86,7.93
Sep-86,8.12
Oct-86,7.71
Nov-86,7.62
Dec-86,8.39
Jan-87,8.96
Feb-87,8.95
Mar-87,8.84
Apr-87,8.35
May-87,8.22
Jun-87,7.94
Jul-87,7.92
Aug-87,7.91
Sep-87,7.72
Oct-87,7.48
Nov-87,7.26
Dec-87,7.92
Jan-88,8.21
Feb-88,8.31
Mar-88,8.16
Apr-88,7.88
May-88,7.42
Jun-88,7.28
Jul-88,6.57
Aug-88,6.97
Sep-88,6.96
Oct-88,6.31
Nov-88,6.14
Dec-88,6.9
Jan-89,7.36
Feb-89,7.25
Mar-89,6.61
Apr-89,6.34
May-89,6.29
Jun-89,5.89
Jul-89,5.8
Aug-89,5.77
Sep-89,5.99
Oct-89,5.49
Nov-89,5.39
Dec-89,5.83
Jan-90,6.57
Feb-90,6.98
Mar-90,6.45
Apr-90,6.37
May-90,6.39
Jun-90,6.41
Jul-90,6.58
Aug-90,7.11
Sep-90,7.46
Oct-90,7.05
Nov-90,7.51
Dec-90,8.16
Jan-91,9.05
Feb-91,9.52
Mar-91,9.46
Apr-91,9.88
May-91,9.55
Jun-91,8.96
Jul-91,9.51
Aug-91,9.54
Sep-91,10.01
Oct-91,9.34
Nov-91,9.57
Dec-91,10.44
Jan-92,11.2
Feb-92,11.5
Mar-92,10.95
Apr-92,10.62
May-92,10.67
Jun-92,10.56
Jul-92,10.66
Aug-92,10.32
Sep-92,10.43
Oct-92,10.38
Nov-92,10.37
Dec-92,11.09
Jan-93,11.77
Feb-93,11.99
Mar-93,11.36
Apr-93,10.74
May-93,10.64
Jun-93,10.68
Jul-93,10.31
Aug-93,10.73
Sep-93,10.61
Oct-93,10.41
Nov-93,10.29
Dec-93,10.59
Jan-94,11.41
Feb-94,11.44
Mar-94,10.7
Apr-94,10.15
May-94,9.56
Jun-94,9.58
Jul-94,9.11
Aug-94,9.23
Sep-94,9.23
Oct-94,8.62
Nov-94,8.71
Dec-94,8.91
Jan-95,9.67
Feb-95,9.82
Mar-95,8.99
Apr-95,8.37
May-95,8.39
Jun-95,8.13
Jul-95,8.01
Aug-95,7.99
Sep-95,8.38
Oct-95,8.09
Nov-95,8.04
Dec-95,8.09
Jan-96,9.1
Feb-96,9.11
Mar-96,8.83
Apr-96,8.59
May-96,8.31
Jun-96,8.09
Jul-96,8.13
Aug-96,8.33
Sep-96,8.65
Oct-96,8.3
Nov-96,8.14
Dec-96,8.42
Jan-97,9.08
Feb-97,9.78
Mar-97,9.04
Apr-97,8.71
May-97,8.47
Jun-97,8.16
Jul-97,7.97
Aug-97,8.37
Sep-97,7.94
Oct-97,7.49
Nov-97,7.65
Dec-97,7.72
Jan-98,8.38
Feb-98,8.76
Mar-98,8.32
Apr-98,7.71
May-98,7.74
Jun-98,7.72
Jul-98,7.42
Aug-98,7.57
Sep-98,7.56
Oct-98,7.04
Nov-98,7.21
Dec-98,6.9
Jan-99,7.6
Feb-99,8.03
Mar-99,7.47
Apr-99,7.11
May-99,7.08
Jun-99,6.48
Jul-99,6.32
Aug-99,6.8
Sep-99,7.14
Oct-99,6.45
Nov-99,6
Dec-99,6.61
Jan-00,7.16
Feb-00,7.38
Mar-00,6.91
Apr-00,6.39
May-00,6.34
Jun-00,5.93
Jul-00,5.44
Aug-00,5.76
Sep-00,6.06
Oct-00,5.56
Nov-00,5.87
Dec-00,6.01
Jan-01,6.49
Feb-01,7.23
Mar-01,6.77
Apr-01,6.76
May-01,7
Jun-01,6.72
Jul-01,6.23
Aug-01,6.58
Sep-01,6.9
Oct-01,6.81
Nov-01,6.46
Dec-01,6.83
Jan-02,7.62
Feb-02,7.47
Mar-02,6.66
Apr-02,6.54
May-02,6.23
Jun-02,6.47
Jul-02,5.75
